"State","Year","Deaths","Death_Rate","Pct_of_Total_Deaths","Multiple_Cause_of_death","log_of_Deaths","log_of_Pct_of_Deaths","log_of_Death_Rate"
"Wyoming",2007,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2007,0,0,0,"All Opioids",0,0,0
"Wyoming",2008,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2008,24,5.8,0,"Other opioids",3.17805383034795,0,1.75785791755237
"Wyoming",2008,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2008,11,NA,0,"Other synthetic narcotics",2.39789527279837,0,NA
"Wyoming",2008,35,5.8,0,"All Opioids",3.55534806148941,0,1.75785791755237
"Wyoming",2009,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2009,17,NA,0,"Other opioids",2.83321334405622,0,NA
"Wyoming",2009,10,NA,0,"Methadone",2.30258509299405,0,NA
"Wyoming",2009,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2009,27,0,0,"All Opioids",3.29583686600433,0,0
"Wyoming",2010,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2010,33,7.7,0,"Other opioids",3.49650756146648,0,2.04122032885964
"Wyoming",2010,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2010,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2010,33,7.7,0,"All Opioids",3.49650756146648,0,2.04122032885964
"Wyoming",2011,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2011,28,6.5,0,"Other opioids",3.3322045101752,0,1.87180217690159
"Wyoming",2011,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2011,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2011,28,6.5,0,"All Opioids",3.3322045101752,0,1.87180217690159
"Wyoming",2012,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2012,24,5.4,0,"Other opioids",3.17805383034795,0,1.68639895357023
"Wyoming",2012,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2012,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2012,24,5.4,0,"All Opioids",3.17805383034795,0,1.68639895357023
"Wyoming",2013,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2013,34,7.6,0,"Other opioids",3.52636052461616,0,2.02814824729229
"Wyoming",2013,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2013,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2013,34,7.6,0,"All Opioids",3.52636052461616,0,2.02814824729229
"Wyoming",2014,10,NA,0,"Heroin",2.30258509299405,0,NA
"Wyoming",2014,30,6.7,0,"Other opioids",3.40119738166216,0,1.90210752639692
"Wyoming",2014,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2014,12,NA,0,"Other synthetic narcotics",2.484906649788,0,NA
"Wyoming",2014,52,6.7,0,"All Opioids",3.95124371858143,0,1.90210752639692
"Wyoming",2015,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2015,30,6.7,0,"Other opioids",3.40119738166216,0,1.90210752639692
"Wyoming",2015,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2015,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2015,30,6.7,0,"All Opioids",3.40119738166216,0,1.90210752639692
"Wisconsin",2000,31,0.8,0,"Heroin",3.43398720448515,0,-0.22314355131421
"Wisconsin",2000,52,1.3,0,"Other opioids",3.95124371858143,0,0.262364264467491
"Wisconsin",2000,19,NA,0,"Methadone",2.94443897916644,0,NA
"Wisconsin",2000,23,0.6,0,"Other synthetic narcotics",3.13549421592915,0,-0.510825623765991
"Wisconsin",2000,125,2.7,0,"All Opioids",4.8283137373023,0,0.993251773010283
"Wisconsin",2001,24,0.6,0,"Heroin",3.17805383034795,0,-0.510825623765991
"Wisconsin",2001,66,1.6,0,"Other opioids",4.18965474202643,0,0.470003629245736
"Wisconsin",2001,21,0.5,0,"Methadone",3.04452243772342,0,-0.693147180559945
"Wisconsin",2001,23,0.6,0,"Other synthetic narcotics",3.13549421592915,0,-0.510825623765991
"Wisconsin",2001,134,3.3,0,"All Opioids",4.89783979995091,0,1.19392246847243
"Wisconsin",2002,27,0.7,0,"Heroin",3.29583686600433,0,-0.356674943938732
"Wisconsin",2002,94,2.3,0,"Other opioids",4.54329478227,0,0.832909122935104
"Wisconsin",2002,39,1,0,"Methadone",3.66356164612965,0,0
"Wisconsin",2002,26,0.6,0,"Other synthetic narcotics",3.25809653802148,0,-0.510825623765991
"Wisconsin",2002,186,4.6,0,"All Opioids",5.2257466737132,0,1.52605630349505
"Wisconsin",2003,26,0.6,0,"Heroin",3.25809653802148,0,-0.510825623765991
"Wisconsin",2003,104,2.5,0,"Other opioids",4.64439089914137,0,0.916290731874155
"Wisconsin",2003,43,1,0,"Methadone",3.76120011569356,0,0
"Wisconsin",2003,41,1,0,"Other synthetic narcotics",3.71357206670431,0,0
"Wisconsin",2003,214,5.1,0,"All Opioids",5.36597601502185,0,1.62924053973028
"Wisconsin",2004,22,0.5,0,"Heroin",3.09104245335832,0,-0.693147180559945
"Wisconsin",2004,105,2.5,0,"Other opioids",4.65396035015752,0,0.916290731874155
"Wisconsin",2004,71,1.7,0,"Methadone",4.26267987704132,0,0.53062825106217
"Wisconsin",2004,43,1,0,"Other synthetic narcotics",3.76120011569356,0,0
"Wisconsin",2004,241,5.7,0,"All Opioids",5.48479693349065,0,1.7404661748405
"Wisconsin",2005,33,0.8,0,"Heroin",3.49650756146648,0,-0.22314355131421
"Wisconsin",2005,137,3.3,0,"Other opioids",4.91998092582813,0,1.19392246847243
"Wisconsin",2005,73,1.7,0,"Methadone",4.29045944114839,0,0.53062825106217
"Wisconsin",2005,53,1.3,0,"Other synthetic narcotics",3.97029191355212,0,0.262364264467491
"Wisconsin",2005,296,7.1,0,"All Opioids",5.69035945432406,0,1.96009478404727
"Wisconsin",2006,29,0.7,0,"Heroin",3.36729582998647,0,-0.356674943938732
"Wisconsin",2006,167,3.9,0.1,"Other opioids",5.11799381241676,-2.30258509299405,1.3609765531356
"Wisconsin",2006,123,2.9,0,"Methadone",4.81218435537242,0,1.06471073699243
"Wisconsin",2006,56,1.3,0,"Other synthetic narcotics",4.02535169073515,0,0.262364264467491
"Wisconsin",2006,375,8.8,0.1,"All Opioids",5.92692602597041,-2.30258509299405,2.17475172148416
"Wisconsin",2007,36,0.8,0,"Heroin",3.58351893845611,0,-0.22314355131421
"Wisconsin",2007,186,4.4,0.1,"Other opioids",5.2257466737132,-2.30258509299405,1.48160454092422
"Wisconsin",2007,140,3.3,0,"Methadone",4.9416424226093,0,1.19392246847243
"Wisconsin",2007,56,1.3,0,"Other synthetic narcotics",4.02535169073515,0,0.262364264467491
"Wisconsin",2007,418,9.8,0.1,"All Opioids",6.03548143252476,-2.30258509299405,2.28238238567653
"Wisconsin",2008,69,1.6,0,"Heroin",4.23410650459726,0,0.470003629245736
"Wisconsin",2008,180,4.2,0.1,"Other opioids",5.19295685089021,-2.30258509299405,1.43508452528932
"Wisconsin",2008,117,2.7,0,"Methadone",4.76217393479776,0,0.993251773010283
"Wisconsin",2008,54,1.3,0,"Other synthetic narcotics",3.98898404656427,0,0.262364264467491
"Wisconsin",2008,420,9.8,0.1,"All Opioids",6.04025471127741,-2.30258509299405,2.28238238567653
"Wisconsin",2009,75,1.7,0,"Heroin",4.31748811353631,0,0.53062825106217
"Wisconsin",2009,190,4.4,0.1,"Other opioids",5.24702407216049,-2.30258509299405,1.48160454092422
"Wisconsin",2009,96,2.2,0,"Methadone",4.56434819146784,0,0.78845736036427
"Wisconsin",2009,73,1.7,0,"Other synthetic narcotics",4.29045944114839,0,0.53062825106217
"Wisconsin",2009,434,10,0.1,"All Opioids",6.07304453410041,-2.30258509299405,2.30258509299405
"Wisconsin",2010,92,2.1,0,"Heroin",4.52178857704904,0,0.741937344729377
"Wisconsin",2010,230,5.3,0.1,"Other opioids",5.4380793089232,-2.30258509299405,1.66770682055808
"Wisconsin",2010,84,1.9,0,"Methadone",4.43081679884331,0,0.641853886172395
"Wisconsin",2010,66,1.5,0,"Other synthetic narcotics",4.18965474202643,0,0.405465108108164
"Wisconsin",2010,472,10.8,0.1,"All Opioids",6.15697898558556,-2.30258509299405,2.37954613413017
"Wisconsin",2011,134,3.1,0,"Heroin",4.89783979995091,0,1.1314021114911
"Wisconsin",2011,234,5.3,0.1,"Other opioids",5.4553211153577,-2.30258509299405,1.66770682055808
"Wisconsin",2011,78,1.8,0,"Methadone",4.35670882668959,0,0.587786664902119
"Wisconsin",2011,63,1.4,0,"Other synthetic narcotics",4.14313472639153,0,0.336472236621213
"Wisconsin",2011,509,11.6,0.1,"All Opioids",6.23244801655052,-2.30258509299405,2.45100509811232
"Wisconsin",2012,185,4.2,0.1,"Heroin",5.22035582507832,-2.30258509299405,1.43508452528932
"Wisconsin",2012,236,5.4,0.1,"Other opioids",5.46383180502561,-2.30258509299405,1.68639895357023
"Wisconsin",2012,63,1.4,0,"Methadone",4.14313472639153,0,0.336472236621213
"Wisconsin",2012,58,1.3,0,"Other synthetic narcotics",4.06044301054642,0,0.262364264467491
"Wisconsin",2012,542,12.3,0.2,"All Opioids",6.29526600143965,-1.6094379124341,2.50959926237837
"Wisconsin",2013,231,5.2,0.1,"Heroin",5.44241771052179,-2.30258509299405,1.64865862558738
"Wisconsin",2013,277,6.2,0.1,"Other opioids",5.62401750618734,-2.30258509299405,1.82454929205105
"Wisconsin",2013,75,1.7,0,"Methadone",4.31748811353631,0,0.53062825106217
"Wisconsin",2013,82,1.8,0,"Other synthetic narcotics",4.40671924726425,0,0.587786664902119
"Wisconsin",2013,665,14.9,0.2,"All Opioids",6.49978704065585,-1.6094379124341,2.70136121295141
"Wisconsin",2014,270,6.1,0.1,"Heroin",5.59842195899838,-2.30258509299405,1.80828877117927
"Wisconsin",2014,286,6.4,0.1,"Other opioids",5.65599181081985,-2.30258509299405,1.85629799036563
"Wisconsin",2014,79,1.8,0,"Methadone",4.36944785246702,0,0.587786664902119
"Wisconsin",2014,92,2.1,0,"Other synthetic narcotics",4.52178857704904,0,0.741937344729377
"Wisconsin",2014,727,16.4,0.2,"All Opioids",6.58892647753352,-1.6094379124341,2.79728133483015
"Wisconsin",2015,290,6.5,0.1,"Heroin",5.66988092298052,-2.30258509299405,1.87180217690159
"Wisconsin",2015,253,5.7,0.1,"Other opioids",5.53338948872752,-2.30258509299405,1.7404661748405
"Wisconsin",2015,73,1.6,0,"Methadone",4.29045944114839,0,0.470003629245736
"Wisconsin",2015,114,2.5,0,"Other synthetic narcotics",4.7361984483945,0,0.916290731874155
"Wisconsin",2015,730,16.3,0.2,"All Opioids",6.59304453414244,-1.6094379124341,2.79116510781272
"West Virginia",2000,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2000,24,1.7,0,"Other opioids",3.17805383034795,0,0.53062825106217
"West Virginia",2000,NA,NA,NA,"Methadone",NA,NA,NA
"West Virginia",2000,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"West Virginia",2000,24,1.7,0,"All Opioids",3.17805383034795,0,0.53062825106217
"West Virginia",2001,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2001,78,5.5,0,"Other opioids",4.35670882668959,0,1.70474809223843
"West Virginia",2001,38,2.7,0,"Methadone",3.63758615972639,0,0.993251773010283
"West Virginia",2001,41,2.9,0,"Other synthetic narcotics",3.71357206670431,0,1.06471073699243
"West Virginia",2001,157,11.1,0,"All Opioids",5.05624580534831,0,2.40694510831829
"West Virginia",2002,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2002,89,6.3,0,"Other opioids",4.48863636973214,0,1.84054963339749
"West Virginia",2002,75,5.3,0,"Methadone",4.31748811353631,0,1.66770682055808
"West Virginia",2002,39,2.8,0,"Other synthetic narcotics",3.66356164612965,0,1.02961941718116
"West Virginia",2002,203,14.4,0,"All Opioids",5.31320597904179,0,2.66722820658195
"West Virginia",2003,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2003,121,8.5,0,"Other opioids",4.79579054559674,0,2.14006616349627
"West Virginia",2003,66,4.6,0,"Methadone",4.18965474202643,0,1.52605630349505
"West Virginia",2003,44,3.1,0,"Other synthetic narcotics",3.78418963391826,0,1.1314021114911
"West Virginia",2003,231,16.2,0,"All Opioids",5.44241771052179,0,2.78501124223834
"West Virginia",2004,10,NA,0,"Heroin",2.30258509299405,0,NA
"West Virginia",2004,126,8.8,0,"Other opioids",4.83628190695148,0,2.17475172148416
"West Virginia",2004,111,7.8,0,"Methadone",4.70953020131233,0,2.05412373369555
"West Virginia",2004,70,4.9,0,"Other synthetic narcotics",4.24849524204936,0,1.58923520511658
"West Virginia",2004,317,21.5,0,"All Opioids",5.75890177387728,0,3.06805293513362
"West Virginia",2005,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2005,60,4.2,0,"Other opioids",4.0943445622221,0,1.43508452528932
"West Virginia",2005,63,4.4,0,"Methadone",4.14313472639153,0,1.48160454092422
"West Virginia",2005,44,3.1,0,"Other synthetic narcotics",3.78418963391826,0,1.1314021114911
"West Virginia",2005,167,11.7,0,"All Opioids",5.11799381241676,0,2.45958884180371
"West Virginia",2006,NA,NA,NA,"Heroin",NA,NA,NA
"West Virginia",2006,165,11.5,0.1,"Other opioids",5.10594547390058,-2.30258509299405,2.4423470353692
"West Virginia",2006,105,7.3,0,"Methadone",4.65396035015752,0,1.98787434815435
"West Virginia",2006,53,3.7,0,"Other synthetic narcotics",3.97029191355212,0,1.30833281965018
"West Virginia",2006,323,22.5,0.1,"All Opioids",5.77765232322266,-2.30258509299405,3.11351530921037
"West Virginia",2007,21,1.5,0,"Heroin",3.04452243772342,0,0.405465108108164
"West Virginia",2007,188,13,0.1,"Other opioids",5.23644196282995,-2.30258509299405,2.56494935746154
"West Virginia",2007,98,6.8,0,"Methadone",4.58496747867057,0,1.91692261218206
"West Virginia",2007,80,5.5,0,"Other synthetic narcotics",4.38202663467388,0,1.70474809223843
"West Virginia",2007,387,26.8,0.1,"All Opioids",5.95842469302978,-2.30258509299405,3.28840188751681
"West Virginia",2008,37,2.6,0,"Heroin",3.61091791264422,0,0.955511445027436
"West Virginia",2008,225,15.5,0.1,"Other opioids",5.41610040220442,-2.30258509299405,2.7408400239252
"West Virginia",2008,87,6,0,"Methadone",4.46590811865458,0,1.79175946922805
"West Virginia",2008,90,6.2,0,"Other synthetic narcotics",4.49980967033027,0,1.82454929205105
"West Virginia",2008,439,30.3,0.1,"All Opioids",6.08449941307517,-2.30258509299405,3.41114771251532
"West Virginia",2009,19,NA,0,"Heroin",2.94443897916644,0,NA
"West Virginia",2009,106,7.3,0,"Other opioids",4.66343909411207,0,1.98787434815435
"West Virginia",2009,41,2.8,0,"Methadone",3.71357206670431,0,1.02961941718116
"West Virginia",2009,44,3,0,"Other synthetic narcotics",3.78418963391826,0,1.09861228866811
"West Virginia",2009,210,13.1,0,"All Opioids",5.34710753071747,0,2.57261223020711
"West Virginia",2010,30,2,0,"Heroin",3.40119738166216,0,0.693147180559945
"West Virginia",2010,374,25.5,0.1,"Other opioids",5.92425579741453,-2.30258509299405,3.23867845216438
"West Virginia",2010,72,4.9,0,"Methadone",4.27666611901606,0,1.58923520511658
"West Virginia",2010,107,7.3,0,"Other synthetic narcotics",4.67282883446191,0,1.98787434815435
"West Virginia",2010,583,39.7,0.1,"All Opioids",6.36818718635049,-2.30258509299405,3.68135118769314
"West Virginia",2011,35,2.4,0,"Heroin",3.55534806148941,0,0.8754687373539
"West Virginia",2011,478,32.5,0.2,"Other opioids",6.16961073249146,-1.6094379124341,3.48124008933569
"West Virginia",2011,63,4.3,0,"Methadone",4.14313472639153,0,1.45861502269952
"West Virginia",2011,101,6.9,0,"Other synthetic narcotics",4.61512051684126,0,1.93152141160321
"West Virginia",2011,677,46.1,0.2,"All Opioids",6.51767127291227,-1.6094379124341,3.8308129500026
"West Virginia",2012,64,4.3,0,"Heroin",4.15888308335967,0,1.45861502269952
"West Virginia",2012,380,25.8,0.1,"Other opioids",5.94017125272043,-2.30258509299405,3.25037449192757
"West Virginia",2012,72,4.9,0,"Methadone",4.27666611901606,0,1.58923520511658
"West Virginia",2012,97,6.6,0,"Other synthetic narcotics",4.57471097850338,0,1.88706964903238
"West Virginia",2012,613,41.6,0.1,"All Opioids",6.41836493593621,-2.30258509299405,3.72810016726722
"West Virginia",2013,144,9.8,0,"Heroin",4.969813299576,0,2.28238238567653
"West Virginia",2013,363,24.6,0.1,"Other opioids",5.89440283426485,-2.30258509299405,3.20274644293832
"West Virginia",2013,55,3.7,0,"Methadone",4.00733318523247,0,1.30833281965018
"West Virginia",2013,101,6.9,0,"Other synthetic narcotics",4.61512051684126,0,1.93152141160321
"West Virginia",2013,663,45,0.1,"All Opioids",6.49677499018586,-2.30258509299405,3.80666248977032
"West Virginia",2014,165,11.2,0.1,"Heroin",5.10594547390058,-2.30258509299405,2.41591377830105
"West Virginia",2014,384,26.1,0.1,"Other opioids",5.95064255258773,-2.30258509299405,3.26193531432865
"West Virginia",2014,37,2.5,0,"Methadone",3.61091791264422,0,0.916290731874155
"West Virginia",2014,127,8.6,0,"Other synthetic narcotics",4.84418708645859,0,2.15176220325946
"West Virginia",2014,713,48.4,0.2,"All Opioids",6.5694814204143,-1.6094379124341,3.87949981372259
"West Virginia",2015,196,13.4,0.1,"Heroin",5.27811465923052,-2.30258509299405,2.59525470695687
"West Virginia",2015,380,25.9,0.1,"Other opioids",5.94017125272043,-2.30258509299405,3.25424296870549
"West Virginia",2015,29,2,0,"Methadone",3.36729582998647,0,0.693147180559945
"West Virginia",2015,226,15.4,0.1,"Other synthetic narcotics",5.42053499927229,-2.30258509299405,2.73436750941958
"West Virginia",2015,831,56.7,0.3,"All Opioids",6.72262979485545,-1.20397280432594,4.03777421073371
"Washington",2000,61,1.4,0,"Heroin",4.11087386417331,0,0.336472236621213
"Washington",2000,105,2.4,0,"Other opioids",4.65396035015752,0,0.8754687373539
"Washington",2000,67,1.5,0,"Methadone",4.20469261939097,0,0.405465108108164
"Washington",2000,24,0.5,0,"Other synthetic narcotics",3.17805383034795,0,-0.693147180559945
"Washington",2000,257,5.8,0,"All Opioids",5.54907608489522,0,1.75785791755237
"Washington",2001,49,1.1,0,"Heroin",3.89182029811063,0,0.0953101798043249
"Washington",2001,120,2.7,0,"Other opioids",4.78749174278205,0,0.993251773010283
"Washington",2001,82,1.8,0,"Methadone",4.40671924726425,0,0.587786664902119
"Washington",2001,28,0.6,0,"Other synthetic narcotics",3.3322045101752,0,-0.510825623765991
"Washington",2001,279,6.2,0,"All Opioids",5.63121178182137,0,1.82454929205105
"Washington",2002,75,1.7,0,"Heroin",4.31748811353631,0,0.53062825106217
"Washington",2002,144,3.2,0,"Other opioids",4.969813299576,0,1.16315080980568
"Washington",2002,142,3.1,0,"Methadone",4.95582705760126,0,1.1314021114911
"Washington",2002,46,1,0,"Other synthetic narcotics",3.8286413964891,0,0
"Washington",2002,407,9,0,"All Opioids",6.00881318544259,0,2.19722457733622
"Washington",2003,66,1.4,0,"Heroin",4.18965474202643,0,0.336472236621213
"Washington",2003,166,3.6,0.1,"Other opioids",5.11198778835654,-2.30258509299405,1.28093384546206
"Washington",2003,168,3.7,0.1,"Methadone",5.12396397940326,-2.30258509299405,1.30833281965018
"Washington",2003,38,0.8,0,"Other synthetic narcotics",3.63758615972639,0,-0.22314355131421
"Washington",2003,438,9.5,0.2,"All Opioids",6.08221891037645,-1.6094379124341,2.2512917986065
"Washington",2004,62,1.3,0,"Heroin",4.12713438504509,0,0.262364264467491
"Washington",2004,220,4.7,0.1,"Other opioids",5.39362754635236,-2.30258509299405,1.54756250871601
"Washington",2004,256,5.5,0.1,"Methadone",5.54517744447956,-2.30258509299405,1.70474809223843
"Washington",2004,43,0.9,0,"Other synthetic narcotics",3.76120011569356,0,-0.105360515657826
"Washington",2004,581,12.4,0.2,"All Opioids",6.36475075685191,-1.6094379124341,2.51769647261099
"Washington",2005,59,1.2,0,"Heroin",4.07753744390572,0,0.182321556793955
"Washington",2005,239,5,0.1,"Other opioids",5.47646355193151,-2.30258509299405,1.6094379124341
"Washington",2005,281,5.9,0.1,"Methadone",5.63835466933375,-2.30258509299405,1.77495235091167
"Washington",2005,55,1.2,0,"Other synthetic narcotics",4.00733318523247,0,0.182321556793955
"Washington",2005,634,13.3,0.2,"All Opioids",6.45204895443723,-1.6094379124341,2.58776403522771
"Washington",2006,58,1.2,0,"Heroin",4.06044301054642,0,0.182321556793955
"Washington",2006,272,5.6,0.1,"Other opioids",5.605802066296,-2.30258509299405,1.7227665977411
"Washington",2006,337,7,0.1,"Methadone",5.82008293035236,-2.30258509299405,1.94591014905531
"Washington",2006,51,1.1,0,"Other synthetic narcotics",3.93182563272433,0,0.0953101798043249
"Washington",2006,718,14.9,0.2,"All Opioids",6.57646956904822,-1.6094379124341,2.70136121295141
"Washington",2007,76,1.5,0,"Heroin",4.33073334028633,0,0.405465108108164
"Washington",2007,286,5.8,0.1,"Other opioids",5.65599181081985,-2.30258509299405,1.75785791755237
"Washington",2007,280,5.7,0.1,"Methadone",5.63478960316925,-2.30258509299405,1.7404661748405
"Washington",2007,44,0.9,0,"Other synthetic narcotics",3.78418963391826,0,-0.105360515657826
"Washington",2007,686,13.9,0.2,"All Opioids",6.53087762772588,-1.6094379124341,2.63188884013665
"Washington",2008,67,1.3,0,"Heroin",4.20469261939097,0,0.262364264467491
"Washington",2008,312,6.2,0.1,"Other opioids",5.74300318780948,-2.30258509299405,1.82454929205105
"Washington",2008,287,5.7,0.1,"Methadone",5.65948221575962,-2.30258509299405,1.7404661748405
"Washington",2008,55,1.1,0,"Other synthetic narcotics",4.00733318523247,0,0.0953101798043249
"Washington",2008,721,14.3,0.2,"All Opioids",6.58063913728495,-1.6094379124341,2.66025953726586
"Washington",2009,68,1.3,0,"Heroin",4.21950770517611,0,0.262364264467491
"Washington",2009,340,6.7,0.1,"Other opioids",5.82894561761021,-2.30258509299405,1.90210752639692
"Washington",2009,271,5.3,0.1,"Methadone",5.6021188208797,-2.30258509299405,1.66770682055808
"Washington",2009,71,1.4,0,"Other synthetic narcotics",4.26267987704132,0,0.336472236621213
"Washington",2009,750,14.7,0.2,"All Opioids",6.62007320653036,-1.6094379124341,2.68784749378469
"Washington",2010,61,1.2,0,"Heroin",4.11087386417331,0,0.182321556793955
"Washington",2010,303,5.9,0.1,"Other opioids",5.71373280550937,-2.30258509299405,1.77495235091167
"Washington",2010,228,4.4,0.1,"Methadone",5.42934562895444,-2.30258509299405,1.48160454092422
"Washington",2010,68,1.3,0,"Other synthetic narcotics",4.21950770517611,0,0.262364264467491
"Washington",2010,660,12.8,0.2,"All Opioids",6.49223983502047,-1.6094379124341,2.54944517092557
"Washington",2011,150,2.9,0,"Heroin",5.01063529409626,0,1.06471073699243
"Washington",2011,330,6.3,0.1,"Other opioids",5.79909265446053,-2.30258509299405,1.84054963339749
"Washington",2011,238,4.5,0.1,"Methadone",5.47227067367148,-2.30258509299405,1.50407739677627
"Washington",2011,53,1,0,"Other synthetic narcotics",3.97029191355212,0,0
"Washington",2011,771,14.7,0.2,"All Opioids",6.64768837356333,-1.6094379124341,2.68784749378469
"Washington",2012,177,3.3,0.1,"Heroin",5.17614973257383,-2.30258509299405,1.19392246847243
"Washington",2012,345,6.5,0.1,"Other opioids",5.84354441703136,-2.30258509299405,1.87180217690159
"Washington",2012,185,3.5,0.1,"Methadone",5.22035582507832,-2.30258509299405,1.25276296849537
"Washington",2012,59,1.1,0,"Other synthetic narcotics",4.07753744390572,0,0.0953101798043249
"Washington",2012,766,14.4,0.3,"All Opioids",6.64118216974059,-1.20397280432594,2.66722820658195
"Washington",2013,210,3.9,0.1,"Heroin",5.34710753071747,-2.30258509299405,1.3609765531356
"Washington",2013,277,5.2,0.1,"Other opioids",5.62401750618734,-2.30258509299405,1.64865862558738
"Washington",2013,161,3,0.1,"Methadone",5.08140436498446,-2.30258509299405,1.09861228866811
"Washington",2013,61,1.1,0,"Other synthetic narcotics",4.11087386417331,0,0.0953101798043249
"Washington",2013,709,13.2,0.3,"All Opioids",6.56385552653213,-1.20397280432594,2.58021682959233
"Washington",2014,294,5.4,0.1,"Heroin",5.68357976733868,-2.30258509299405,1.68639895357023
"Washington",2014,294,5.4,0.1,"Other opioids",5.68357976733868,-2.30258509299405,1.68639895357023
"Washington",2014,118,2.2,0,"Methadone",4.77068462446567,0,0.78845736036427
"Washington",2014,64,1.2,0,"Other synthetic narcotics",4.15888308335967,0,0.182321556793955
"Washington",2014,770,14.2,0.2,"All Opioids",6.64639051484773,-1.6094379124341,2.65324196460721
"Washington",2015,309,5.6,0.1,"Heroin",5.73334127689775,-2.30258509299405,1.7227665977411
"Washington",2015,270,4.9,0.1,"Other opioids",5.59842195899838,-2.30258509299405,1.58923520511658
